Financial Risk Management,,,,,,
Description,Details,,,
Fair value measurement principles,Fair value is defined as the price that would be received to sell an asset or paid to transfer a liability in an orderly transaction between market participants at the measurement date.,,
Fair value determination,"When available, the fair value of a financial instrument is based on quoted market prices in an active market for that instrument.",,
Active market criteria,A market is regarded as active if quoted prices are readily and regularly available and represent actual and regularly occurring market transactions on an arm's length basis.,,
Valuation techniques,"If a quoted market price is not available or if a market for a financial instrument is not active, the fair value is determined by using valuation techniques.",,
External fund managers,"For investments under management with external fund managers, fair value is provided by the external fund managers, determined based on the market value of underlying investments of each fund.",,
Acquisition cost measurement,"In all other cases, instruments are measured at acquisition cost, including transaction cost, less impairment losses, if any.",,
Discounted cash flow techniques,"Where discounted cash flow techniques are used, estimated future cash flows are based on management's best estimates.",,
Discount rate relevance,The discount rate is a market-related rate at the date of the condensed consolidated interim statement of financial position for an instrument with similar terms and conditions.,,
Credit risk adjustments,"Fair values reflect the credit risk of the instrument and include adjustments to take account of the credit risk of the Group and the counterparty, where appropriate.",,
Model estimates adjustments,"Fair value estimates obtained from models are adjusted for any other factors, such as liquidity risk or model uncertainties.",,
Derivatives valuation,The fair value of derivatives that are not exchange traded is estimated at the amount that the Group would receive or pay to terminate the contract at the date of the consolidated interim statement of financial position.,,
-----
