CET1 Capital
Items,30 June 2024 (Unaudited) AED'000,31 December 2023 (Audited) AED'000
Share capital,"2,226,000","2,120,000"
Statutory reserve,"1,054,121","1,054,121"
Special reserve,"679,967","679,967"
Retained earnings,"1,501,154","1,201,790"
IFRS 9 transitional arrangement – ECL (stage 1 and 2) impact,"62,224","84,406"
Accumulated other comprehensive income,335,"5,930"
Regulatory deductions - intangibles,"(154,169)","(144,713)"
CET1 total,"5,369,632","5,001,501"
-----
Additional Tier 1 (AT1) Capital
Items,30 June 2024 (Unaudited) AED'000,31 December 2023 (Audited) AED'000
Tier 1 capital securities (note 14),"1,285,550","1,285,550"
Total Tier 1,"6,655,182","6,287,051"
-----
Tier 2 Capital
Items,30 June 2024 (Unaudited) AED'000,31 December 2023 (Audited) AED'000
Collective impairment provision,"426,295","396,045"
Total Tier 2,"426,295","396,045"
-----
Total Capital Base
Items,30 June 2024 (Unaudited) AED'000,31 December 2023 (Audited) AED'000
Total capital base (a),"7,081,477","6,683,096"
-----
Risk Weighted Assets
Items,30 June 2024 (Unaudited) AED'000,31 December 2023 (Audited) AED'000
Credit risk,"34,103,617","31,683,618"
Market risk,"38,186","64,748"
Operational risk,"3,836,611","3,504,166"
Total risk weighted assets (b),"37,978,414","35,252,532"
-----
Capital Ratios
Ratios,30 June 2024 (%),31 December 2023 (%)
Capital adequacy ratio (a) / (b),18.6%,19.0%
Tier 1 ratio,17.5%,17.8%
Common equity Tier 1 ratio (CET 1),14.1%,14.2%
